chapter,difficulty,question,option_A,option_B,option_C,option_D,answer,explanation
3,hard,某工程師需要開發一個模組，不能依賴標準庫以外的任何 `import`，且該模組的堆疊操作次數極為頻繁但資料量不大。根據教材總結表，他應選擇哪種實作？,A. Python 列表（List）,B. collections.deque,C. 鏈結串列（Linked List）,D. Numpy Array,A,"""關鍵在於「不能依賴 import」且「資料量不大」。雖然列表擴充慢，但在資料量小時影響甚微，加上它不需要 import，是符合該特定限制的最佳選擇。"""
3,hard,"在教材的鏈結串列實作中，若連續執行 `push(10)`, `push(20)`, `pop()`, `push(30)`，最後 `peek()` 的結果為何？",A. 10,B. 20,C. 30,D. Stack is empty,C,"""請跟著操作走：先放入 10，再放入 20（頂端是 20），接著 Pop 把 20 拿掉（頂端變回 10），最後再放入 30。所以現在頂端自然是 30。"""
3,hard,教材提到 Python 列表的 `pop()` 方法與鏈結串列的 `pop()` 方法在「底層運作」上的主要差異推論？,A. 列表的 pop 涉及陣列索引操作；鏈結串列的 pop 涉及指標更新,B. 列表的 pop 不需要回傳值；鏈結串列需要,C. 列表的 pop 是先進先出；鏈結串列是後進先出,D. 兩者底層運作完全相同,A,"""這題考的是對資料結構底層的理解。列表底層是陣列，操作涉及索引計算；而鏈結串列底層是節點，操作涉及更改指標（Next）的指向。"""
3,hard,在編譯器與計算器中，堆疊被用來處理「表達式計算與語法分析」。下列哪種具體操作符合教材描述？,A. 將程式碼轉換為二進位檔,B. 處理中序、後序表達式轉換與運算,C. 最佳化記憶體配置,D. 進行網路封包的排序,B,"""在電腦科學中，為了方便計算數學式，常利用堆疊將人類習慣的中序表達式（如 1+2）轉換成電腦好算的後序表達式，這是堆疊的經典應用。"""
3,hard,在類別封裝堆疊範例中，若未檢查 `isEmpty()` 直接對空堆疊執行 Python 原生 `pop()`，會發生什麼事（基於 Python 列表特性推論）？,A. 回傳 None,B. 程式會拋出錯誤（IndexError）,"C. 自動回傳字串 ""Stack is empty""",D. 堆疊大小變為 -1,B,"""這題考驗對 Python 語言特性的熟悉度。如果不自己寫 `if` 判斷來擋，直接對空的 Python list 執行 `pop()`，程式會崩潰並拋出 `IndexError`。"""
3,hard,為什麼教材中提到鏈結串列實作的優點是「堆疊大小可動態變化，不受限陣列大小」？這是在對比哪種潛在限制？,A. 鏈結串列永遠比陣列快,B. 固定大小的陣列在滿了之後無法再加入元素或需高成本複製,C. Python 的列表無法動態調整大小,D. 鏈結串列不需要記憶體,B,"""這是在與傳統的「固定大小陣列」做對比。傳統陣列一開始宣告多少就是多少，滿了就很麻煩；而鏈結串列像鍊子一樣，可以隨時加長，不受初始容量限制。"""
4,easy,根據教材，佇列（Queue）遵循什麼樣的原則？,先進後出（FILO）,先進先出（FIFO）,隨機存取（Random Access）,後進先出（LIFO）,B,佇列是一種線性資料結構，其核心運作原則是先進先出（FIFO），意即最先排隊加入的元素會最先被移除，就像超市結帳排隊一樣。
4,easy,在佇列的基本操作中，哪一個動作負責「將元素加入佇列尾端」？,Dequeue,Peek,Enqueue,isEmpty,C,Enqueue 代表入隊操作，負責將新元素加入到佇列的尾端；而 Dequeue 才是將元素從頭端移除。
4,easy,若要取得佇列頭端元素但不移除它，應使用哪個操作？,Enqueue,Dequeue,Size,Peek,D,Peek 操作專門用於查看佇列最前端的資料，但不會執行移除動作，讓使用者能檢視下一個要被處理的元素。
4,easy,使用 Python 列表（list）實作佇列時，教材建議使用哪個方法來進行 Dequeue？,remove(),pop(),pop(0),delete(),C,為了模擬佇列移除頭端元素的行為，Python 列表需使用 pop(0) 來取出索引值為 0 的第一個元素。
4,easy,下列哪一個**不是**教材中提到的佇列應用場景？,超市收銀台排隊,堆疊盤子,作業系統排程,印表機工作管理,B,堆疊盤子通常是後進先出（LIFO）的堆疊（Stack）概念；而超市排隊、作業系統排程與印表機管理皆是典型的先進先出（FIFO）佇列應用。
4,easy,在鏈結串列（Linked List）實作的佇列中，Dequeue 操作會移除哪個位置的節點？,尾節點（rear）,頭節點（front）,中間節點,隨機節點,B,由於佇列是先進先出，Dequeue 必須移除最早進入的資料，在鏈結串列結構中，這對應到 front 指標所指向的頭節點。
4,easy,若需要一個「執行緒安全」且內建鎖機制的佇列，教材建議使用哪一個？,Python list,collections.deque,queue.Queue,Linked List,C,queue.Queue 是 Python 標準庫提供的類別，設計上內建了鎖機制，專門用於多執行緒環境下安全地存取資料。
4,easy,優先佇列（Priority Queue）與一般佇列的主要差別為何？,優先佇列遵循 FIFO,優先佇列依優先順序排序而非 FIFO,優先佇列只能存整數,優先佇列沒有 Enqueue 操作,B,一般佇列嚴格遵守先來後到（FIFO），而優先佇列則是根據元素的「優先權」高低來決定誰先被處理，不一定是最先到達的。
4,easy,使用 Python 列表（list）實作佇列時，使用哪個方法進行 Enqueue？,push(),insert(),add(),append(),D,Python 列表的 append() 方法會將元素加到列表的最後面，符合佇列 Enqueue 加入尾端的定義。
4,easy,根據教材，作業系統排程常使用佇列來管理程序，例如哪種方式？,後進先出（LIFO）,最短作業優先,先來先服務（FCFS）,隨機服務,C,作業系統中的先來先服務（FCFS）排程策略，正是利用佇列先進先出的特性，確保先到達的程序先獲得 CPU 資源。
4,medium,使用 Python 列表（list）實作佇列時，為什麼 `pop(0)` 被認為有缺點？,因為它無法回傳數值,因為它會導致所有元素前移，時間複雜度為 O(n),因為它只能刪除最後一個元素,因為它需要額外的記憶體空間,B,Python 列表底層是連續記憶體，移除第一個元素後，後續所有元素都必須向前移動填補空缺，資料量大時效率較差（O(n)）。
4,medium,相較於 Python 列表，使用鏈結串列（Linked List）實作佇列的主要優點為何？,程式碼最精簡,不需要定義類別,加入或移除節點時不需資料搬移,可以直接使用 index 存取任意元素,C,鏈結串列透過指標連接節點，移除頭節點時只需更新指標指向，不需要像列表一樣搬移其餘資料，因此在刪除操作上效率較好。
4,medium,在鏈結串列實作的佇列節點（Node）類別中，除了儲存資料（data）外，還包含什麼？,指向上一節點的指標,指向下一節點的指標,佇列的長度,佇列的尾端位置,B,鏈結串列的基礎單元是節點（Node），每個節點必須包含「資料本身」以及「指向下一個節點的指標（next）」，才能串連成列。
4,medium,根據教材，`collections.deque` 的特性為何？,是單向佇列，只能從尾端操作,是雙端佇列，可雙端進行元素的新增與刪除,是執行緒安全佇列，內建鎖機制,依優先順序排序,B,collections.deque 是雙端佇列（Double-ended Queue），其設計目的是為了讓使用者能高效地在頭尾兩端同時進行插入與刪除操作。
4,medium,在廣度優先搜尋（BFS）演算法中，使用佇列的主要目的為何？,確保搜尋順序由遠至近,記錄已訪問過的節點數量,記錄待訪節點，保證搜尋順序由近至遠,節省記憶體空間,C,BFS 需要層層向外擴散搜尋，使用佇列（FIFO）可以確保先遇到的鄰居節點先被處理，從而保證搜尋順序是由起點由近至遠。
4,medium,關於網路資料封包處理，佇列扮演什麼角色？,封包到達後立即丟棄,封包會暫存在佇列中，再依序傳送,封包會被隨機重新排序,佇列用來加密封包內容,B,當封包進入路由器時，若處理速度不及流量，封包會被暫存在佇列緩衝區中，依照到達順序排隊等待傳送，避免直接遺失。
4,medium,在鏈結串列的 Enqueue 實作中，若 `self.rear` 已經存在（非 None），新節點應該接在哪裡？,`self.front` 的前面,`self.rear` 的 `next`，並更新 `self.rear`,直接取代 `self.front`,直接取代 `self.rear` 而不連接舊節點,B,當佇列非空時，新元素應接在目前尾端節點（rear）的後面（即 rear.next），接著再將 rear 指標更新指向這個新節點。
4,medium,根據教材，鏈結串列實作佇列的缺點是什麼？,無法動態增減元素,移除頭元素時需要搬移資料,每個元素需額外存儲指標，程式碼相對較複雜,只能儲存整數資料,C,雖然鏈結串列效率好，但每個節點都需要額外的記憶體來儲存 next 指標，且需要自行管理節點連接邏輯，程式碼比使用內建列表複雜。
4,medium,當使用類別封裝佇列時，`dequeue` 方法在佇列為空時會回傳什麼？,None,FALSE,"錯誤訊息字串 ""Queue is empty""",0,C,"為了避免程式崩潰或回傳錯誤數據，教材範例中設計了檢查機制：若 isEmpty 為真，則回傳特定的提示字串 ""Queue is empty""。"
4,medium,關於 `queue.Queue` 的敘述，下列何者正確？,它適合用於單執行緒的小型腳本,它不具備鎖機制,它適合多工任務排程與即時系統,它是為了雙端操作設計的,C,queue.Queue 是專為多執行緒設計的，具備鎖機制可防止資料競爭，因此非常適合用於需要並發處理的多工任務排程系統。
4,hard,在鏈結串列實作的 `dequeue` 方法中，執行 `self.front = temp.next` 之後，接下來必須檢查什麼條件以維護正確性？,檢查 `self.rear` 是否為 None,檢查 `self.front` 是否變為 None，若是則需將 `self.rear` 也設為 None,檢查 `self.length` 是否大於 10,檢查 `new_node` 是否存在,B,若 Dequeue 移除了佇列中最後一個元素，front 會變成 None。此時必須同步將 rear 也設為 None，否則 rear 會指向一個已經被移除的節點，導致狀態錯誤。
4,hard,"若執行以下 Python 列表操作：`q = []`, `q.append('X')`, `q.append('Y')`, `q.pop(0)`, `q.append('Z')`。最後佇列的內容為何？","['X', 'Y', 'Z']","['Y', 'Z']","['X', 'Z']",['Z'],B,"操作順序追蹤：1. 加入 X (['X']) -> 2. 加入 Y (['X', 'Y']) -> 3. 移除頭端 X (['Y']) -> 4. 加入 Z (['Y', 'Z'])。"
4,hard,關於各種佇列實作的比較，下列敘述何者完全符合教材內容？,Python 列表適合大規模資料，因為 append 很快,鏈結串列實作雖然效率好，但缺點是節點需連續儲存,`queue.Queue` 效率最高，因為它沒有鎖機制,鏈結串列不需要資料搬移，但每個元素需額外存儲指標,D,鏈結串列的優勢在於不需搬移資料即可插入刪除，代價是需要額外記憶體儲存指標；A 錯在列表不適合大規模 Dequeue，B 錯在鏈結串列不需連續儲存，C 錯在 queue.Queue 有鎖機制。
4,hard,在鏈結串列實作的 `enqueue` 函式中，為什麼需要 `if self.rear is None:` 的判斷？,因為佇列滿了需要擴充,因為這代表佇列目前是空的，頭尾指標都需指向新節點,因為要檢查傳入的 element 是否為 None,因為要防止記憶體溢出,B,當 rear 為 None 時，表示佇列原本是空的。此時加入的第一個節點既是頭也是尾，因此需要同時更新 front 和 rear 指向該新節點。
4,hard,教材提到佇列可用於「模擬系統（Simulation）」，其具體運作邏輯為何？,模擬隨機發生的錯誤,用於模擬顧客到達、機器運作等需要「等待排隊」的場景,模擬 CPU 的運算速度,模擬記憶體的分配過程,B,模擬系統常利用佇列來重現現實生活中「資源有限、需要排隊等待」的現象，例如銀行櫃台服務或工廠流水線的緩衝區模擬。
4,hard,若要開發一個路徑搜尋功能（如 Dijkstra 演算法），教材建議使用哪種資料結構？,標準 FIFO 佇列,雙端佇列（Deque）,優先佇列（Priority Queue）,堆疊（Stack）,C,Dijkstra 演算法需要每次都從當前路徑中挑選成本（距離）最小的節點進行延伸，這需要依照數值排序而非先進先出，因此適合使用優先佇列。
4,hard,根據教材的鏈結串列實作，`size()` 方法是如何取得佇列大小的？,每次呼叫時遍歷整個串列計算,計算 `rear` 和 `front` 記憶體位置的差值,直接回傳維護好的 `self.length` 屬性,使用 Python 內建的 `len()` 函式計算節點數,C,為了提升效率，教材中的實作在 Enqueue 和 Dequeue 時會動態增減一個 length 計數器，因此 size() 只需回傳這個屬性值，不需要重新計算。
4,hard,關於 `queue.Queue` 與 `collections.deque` 的適用情境區別，下列何者正確？,前者適合多執行緒環境，後者適合需要頻繁頭尾操作的高效情境,前者適合單執行緒，後者適合多執行緒,兩者功能完全相同，只差在命名,前者用於圖形演算法，後者用於作業系統排程,A,`queue.Queue` 著重於執行緒安全性（Thread Safety），適合併發程式；而 `collections.deque` 著重於資料結構操作的效能，適合需要快速雙端存取的演算法實作。
4,hard,在鏈結串列實作中，若 `front` 與 `rear` 指向同一個節點，這代表什麼意義？,佇列是空的,佇列已滿,佇列中只有一個元素,佇列中有兩個元素,C,當 front（頭）和 rear（尾）指向同一個物件時，表示該佇列中僅存這唯一的一個節點。
4,hard,為何訊息佇列（Message Queue）在分布式系統中可以避免資料遺失？,因為它會優先處理重要的封包,因為它可暫存資料封包或任務，緩衝處理速度的差異,因為它使用 LIFO 機制確保最新資料先到,因為它會自動複製資料到硬碟,B,訊息佇列充當緩衝區，當發送端速度快於接收端，或網路不穩定時，資料可以先暫存在佇列中等待處理，確保不會因為來不及處理而直接丟失。
